First Name,Gender,Date of Birth,Date of Joining,Company,Department,Designation,Status
Phan Hoài Giang,Female,1998-10-19,2025-04-26,Ý Cường Thinh,Dispatch - YCT,Associate,Active
Ngô Thu Dung,Female,1978-11-14,2023-07-14,Ý Cường Thinh,Dispatch - YCT,Associate,Active
Trần Ngọc Anh,Female,1987-12-11,2019-04-07,Ý Cường Thinh,Dispatch - YCT,Associate,Active
Trương Thành Đạt,Male,1988-03-09,2025-04-28,Ý Cường Thinh,Dispatch - YCT,Associate,Active
Dương Tuấn Dũng,Male,1976-11-18,2018-02-25,Ý Cường Thinh,Dispatch - YCT,Associate,Active
Huỳnh Công Thắng,Male,1990-04-28,2024-01-06,Ý Cường Thinh,Dispatch - YCT,Associate,Active
Nguyễn Mỹ Lan,Female,2000-08-10,2024-12-24,Ý Cường Thinh,Dispatch - YCT,Associate,Active
Hoàng Thu Linh,Female,1981-01-19,2018-12-11,Ý Cường Thinh,Human Resources - YCT,HR Manager,Active
Trần Bá Thắng,Male,1991-09-06,2018-09-03,Ý Cường Thinh,Human Resources - YCT,Executive Assistant,Active
Lê Bá Cường,Male,1996-04-13,2019-10-08,Ý Cường Thinh,Human Resources - YCT,Executive Assistant,Active
Mai Hữu Sơn,Male,1996-10-19,2023-05-07,Ý Cường Thinh,Human Resources - YCT,Executive Assistant,Active
Vũ Kim Nga,Female,1979-11-21,2022-08-11,Ý Cường Thinh,Human Resources - YCT,Executive Assistant,Active
Nguyễn Thành Việt,Male,1993-02-03,2021-09-09,Ý Cường Thinh,Human Resources - YCT,Administrative Assistant,Active
Đỗ Hữu Khang,Male,1986-05-06,2025-09-23,Ý Cường Thinh,Human Resources - YCT,Administrative Assistant,Active
Mai Hoài An,Female,1996-09-10,2019-03-09,Ý Cường Thinh,Human Resources - YCT,Administrative Assistant,Active
Phạm Tuấn Đạt,Male,1983-05-20,2021-12-11,Ý Cường Thinh,Human Resources - YCT,Administrative Assistant,Active
Võ Tuấn Thắng,Male,1983-01-03,2024-05-02,Ý Cường Thinh,Human Resources - YCT,Administrative Assistant,Active
Bùi Đức Long,Male,1980-12-15,2024-09-01,Ý Cường Thinh,Legal - YCT,Manager,Active
Lê Đức Trung,Male,1976-06-19,2020-07-05,Ý Cường Thinh,Legal - YCT,Consultant,Active
Đặng Anh Bình,Male,1986-04-22,2021-11-04,Ý Cường Thinh,Legal - YCT,Consultant,Active
Trương Mỹ Vy,Female,1998-03-08,2020-03-14,Ý Cường Thinh,Legal - YCT,Consultant,Active
Huỳnh Anh Sơn,Male,2000-11-28,2021-05-06,Ý Cường Thinh,Legal - YCT,Consultant,Active
Hồ Văn Thắng,Male,1982-04-27,2025-06-10,Ý Cường Thinh,Legal - YCT,Consultant,Active
Vũ Văn Hùng,Male,1987-06-09,2019-05-12,Ý Cường Thinh,Legal - YCT,Consultant,Active
Trương Hồng An,Female,1978-05-06,2022-01-04,Ý Cường Thinh,Legal - YCT,Associate,Active
Đỗ Hồng Nhung,Female,1994-09-04,2024-10-07,Ý Cường Thinh,Legal - YCT,Associate,Active
Trần Mỹ An,Female,1991-09-22,2021-06-14,Ý Cường Thinh,Legal - YCT,Associate,Active
Bùi Bá Nam,Male,1996-02-24,2022-09-10,Ý Cường Thinh,Management - YCT,Managing Director,Active
Bùi Mỹ Linh,Female,1992-03-07,2024-11-13,Ý Cường Thinh,Management - YCT,Chief Executive Officer,Active
Mai Bá Minh,Male,1987-09-27,2018-05-10,Ý Cường Thinh,Management - YCT,Chief Financial Officer,Active
Ngô Bá Việt,Male,1995-06-15,2025-08-22,Ý Cường Thinh,Management - YCT,Chief Operating Officer,Active
Đinh Thành Hải,Male,1996-02-10,2023-02-27,Ý Cường Thinh,Management - YCT,Chief Technology Officer,Active
Đặng Minh Hùng,Male,1979-01-02,2021-08-20,Ý Cường Thinh,Management - YCT,Vice President,Active
Dương Công Tuấn,Male,1981-12-23,2024-08-13,Ý Cường Thinh,Management - YCT,Vice President,Active
Hoàng Văn Dũng,Male,1999-07-08,2020-12-17,Ý Cường Thinh,Management - YCT,Executive Assistant,Active
Trần Hoài Huyền,Female,2002-02-15,2020-08-22,Ý Cường Thinh,Management - YCT,Executive Assistant,Active
Dương Bích Thảo,Female,1988-09-15,2020-12-28,Ý Cường Thinh,Management - YCT,Secretary,Active
Dương Kim Huyền,Female,2001-11-09,2025-11-08,Ý Cường Thinh,Marketing - YCT,Marketing Manager,Active
Dương Ngọc Linh,Female,1982-05-11,2023-09-03,Ý Cường Thinh,Marketing - YCT,Head of Marketing and Sales,Active
Hoàng Minh Quân,Male,1997-03-23,2021-02-14,Ý Cường Thinh,Marketing - YCT,Marketing Specialist,Active
Bùi Hoài Phương,Female,1988-01-07,2024-07-25,Ý Cường Thinh,Marketing - YCT,Marketing Specialist,Active
Lâm Công Thắng,Male,1975-06-10,2024-07-18,Ý Cường Thinh,Marketing - YCT,Marketing Specialist,Active
Lý Minh Long,Male,1988-08-01,2024-06-22,Ý Cường Thinh,Marketing - YCT,Marketing Specialist,Active
Huỳnh Diễm Giang,Female,1994-09-01,2024-10-19,Ý Cường Thinh,Marketing - YCT,Marketing Specialist,Active
Lê Công Đạt,Male,2002-08-06,2018-05-13,Ý Cường Thinh,Marketing - YCT,Marketing Specialist,Active
Phan Diễm Mai,Female,1985-07-09,2024-05-27,Ý Cường Thinh,Marketing - YCT,Marketing Specialist,Active
Lý Văn Trung,Male,1976-06-08,2019-11-02,Ý Cường Thinh,Marketing - YCT,Associate,Active
Vũ Minh An,Male,1994-03-08,2020-08-22,Ý Cường Thinh,Operations - YCT,Manager,Active
Lâm Minh Tâm,Male,1997-05-25,2023-03-20,Ý Cường Thinh,Operations - YCT,Administrative Officer,Active
Huỳnh Quang Dũng,Male,1993-01-10,2024-07-23,Ý Cường Thinh,Operations - YCT,Administrative Officer,Active
Lê Bá Khang,Male,1978-12-25,2022-11-20,Ý Cường Thinh,Operations - YCT,Associate,Active
Lâm Văn Phong,Male,1992-07-22,2023-02-17,Ý Cường Thinh,Operations - YCT,Associate,Active
Nguyễn Mỹ Quyên,Female,1978-07-12,2025-12-05,Ý Cường Thinh,Operations - YCT,Associate,Active
Huỳnh Hoài Lan,Female,1994-09-25,2025-08-14,Ý Cường Thinh,Operations - YCT,Associate,Active
Bùi Thu Chi,Female,1983-08-08,2025-10-20,Ý Cường Thinh,Operations - YCT,Associate,Active
Bùi Thị Quyên,Female,2002-06-06,2025-04-12,Ý Cường Thinh,Operations - YCT,Associate,Active
Bùi Kim Vy,Female,1997-05-18,2018-09-07,Ý Cường Thinh,Operations - YCT,Associate,Active
Vũ Công Thắng,Male,1992-04-23,2025-11-23,Ý Cường Thinh,Production - YCT,Manager,Active
Dương Thị Chi,Female,1984-04-13,2021-05-22,Ý Cường Thinh,Production - YCT,Product Manager,Active
Lý Hoài Thảo,Female,1986-07-24,2023-06-23,Ý Cường Thinh,Production - YCT,Engineer,Active
Võ Kim Lan,Female,1982-02-24,2021-06-04,Ý Cường Thinh,Production - YCT,Engineer,Active
Phan Minh Thắng,Male,1983-12-19,2022-02-27,Ý Cường Thinh,Production - YCT,Engineer,Active
Đặng Minh Phong,Male,1980-05-01,2020-05-02,Ý Cường Thinh,Production - YCT,Engineer,Active
Trương Quang Đạt,Male,1995-08-04,2018-10-10,Ý Cường Thinh,Production - YCT,Engineer,Active
Lý Diễm Mai,Female,1980-01-09,2025-02-27,Ý Cường Thinh,Production - YCT,Engineer,Active
Hồ Thành Cường,Male,1993-11-22,2018-03-05,Ý Cường Thinh,Production - YCT,Engineer,Active
Lê Thu Dung,Female,1992-07-20,2021-09-13,Ý Cường Thinh,Production - YCT,Associate,Active
Dương Kim Trinh,Female,1988-05-19,2018-10-24,Ý Cường Thinh,Purchase - YCT,Manager,Active
Phan Minh Long,Male,1996-02-06,2021-03-18,Ý Cường Thinh,Purchase - YCT,Business Analyst,Active
Huỳnh Văn Sơn,Male,1989-12-20,2025-05-02,Ý Cường Thinh,Purchase - YCT,Administrative Officer,Active
Đặng Quang Tâm,Male,1977-11-08,2022-11-19,Ý Cường Thinh,Purchase - YCT,Associate,Active
Ngô Hữu Trung,Male,1982-11-05,2022-03-03,Ý Cường Thinh,Purchase - YCT,Associate,Active
Huỳnh Quang Việt,Male,1998-10-10,2025-02-15,Ý Cường Thinh,Purchase - YCT,Associate,Active
Hồ Kim Thảo,Female,1992-08-15,2019-10-02,Ý Cường Thinh,Purchase - YCT,Associate,Active
Bùi Bích Lan,Female,1975-02-08,2018-11-27,Ý Cường Thinh,Purchase - YCT,Associate,Active
Lâm Thị Hà,Female,1990-09-21,2025-05-06,Ý Cường Thinh,Purchase - YCT,Associate,Active
Lý Ngọc Quyên,Female,1986-07-11,2023-11-04,Ý Cường Thinh,Purchase - YCT,Associate,Active
Bùi Công Thắng,Male,1984-11-13,2018-08-03,Ý Cường Thinh,Quality Management - YCT,Manager,Active
Võ Hồng Dung,Female,1999-07-28,2018-11-28,Ý Cường Thinh,Quality Management - YCT,Engineer,Active
Ngô Thị Hoa,Female,1991-06-20,2025-11-15,Ý Cường Thinh,Quality Management - YCT,Engineer,Active
Phan Quang Trung,Male,1979-05-15,2025-02-01,Ý Cường Thinh,Quality Management - YCT,Engineer,Active
Huỳnh Quang Trung,Male,1975-09-14,2019-04-27,Ý Cường Thinh,Quality Management - YCT,Analyst,Active
Dương Hữu Đạt,Male,1990-12-10,2022-07-27,Ý Cường Thinh,Quality Management - YCT,Analyst,Active
Lý Thu Phương,Female,1992-03-13,2021-10-17,Ý Cường Thinh,Quality Management - YCT,Analyst,Active
Lê Quang Sơn,Male,1985-09-09,2018-05-24,Ý Cường Thinh,Quality Management - YCT,Analyst,Active
Lâm Bích Quyên,Female,2002-03-15,2025-06-11,Ý Cường Thinh,Quality Management - YCT,Analyst,Active
Dương Hồng Hoa,Female,1997-04-19,2024-04-28,Ý Cường Thinh,Quality Management - YCT,Analyst,Active
Trần Hồng Quyên,Female,1997-07-13,2020-08-02,Ý Cường Thinh,Research & Development - YCT,Product Manager,Active
Đinh Bá Nam,Male,2002-02-28,2025-02-17,Ý Cường Thinh,Research & Development - YCT,Researcher,Active
Nguyễn Thanh Nhung,Female,2002-11-05,2019-08-26,Ý Cường Thinh,Research & Development - YCT,Researcher,Active
Bùi Bích Nga,Female,1995-02-28,2023-11-28,Ý Cường Thinh,Research & Development - YCT,Researcher,Active
Bùi Diễm Trang,Female,1976-10-03,2021-11-22,Ý Cường Thinh,Research & Development - YCT,Researcher,Active
Vũ Ngọc Nhung,Female,1978-11-23,2019-08-06,Ý Cường Thinh,Research & Development - YCT,Researcher,Active
Nguyễn Thị Mai,Female,2000-01-10,2023-06-14,Ý Cường Thinh,Research & Development - YCT,Researcher,Active
Vũ Tuấn Sơn,Male,1993-11-26,2020-03-06,Ý Cường Thinh,Research & Development - YCT,Engineer,Active
Mai Công Việt,Male,1996-04-16,2020-04-15,Ý Cường Thinh,Research & Development - YCT,Engineer,Active
Dương Kim An,Female,2000-08-10,2020-02-15,Ý Cường Thinh,Research & Development - YCT,Engineer,Active
Lâm Kim Nhung,Female,1997-05-15,2022-04-13,Ý Cường Thinh,Sales - YCT,Business Development Manager,Active
Phạm Thu Nga,Female,1993-06-19,2022-12-10,Ý Cường Thinh,Sales - YCT,Manager,Active
Hồ Quang An,Male,1993-11-25,2018-10-24,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
Đặng Thu Vy,Female,2000-06-08,2021-10-09,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
Phạm Văn Minh,Male,2000-08-02,2023-12-05,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
Đặng Anh Sơn,Male,1980-04-05,2023-09-17,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
Huỳnh Kim Quyên,Female,2000-05-24,2023-02-15,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
Trương Anh Cường,Male,2000-07-01,2022-09-04,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
Đỗ Kim Trinh,Female,1987-11-12,2019-11-08,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
Nguyễn Bích Trang,Female,1985-10-08,2019-11-27,Ý Cường Thinh,Sales - YCT,Sales Representative,Active
